Fiscal Year,Service,Department Name,Division Name,Category,Description,Amount,Fund
2013,Education,Education,Assistant Superintendant Curriculum and Instruction,Other Ordinary Maintenance,Postage,205.00,General Fund
2013,Education,Education,Assistant Superintendant Curriculum and Instruction,Other Ordinary Maintenance,Office Supplies Summary,1337.00,General Fund
2013,Education,Education,Assistant Superintendant Curriculum and Instruction,Other Ordinary Maintenance,Food Supplies,0.00,General Fund
2013,Education,Education,Assistant Superintendant Curriculum and Instruction,Other Ordinary Maintenance,Instructional Material,0.00,General Fund
2013,Education,Education,Assistant Superintendant Curriculum and Instruction,Other Ordinary Maintenance,Computer Supplies,0.00,General Fund
2013,Education,Education,Assistant Superintendant Curriculum and Instruction,Other Ordinary Maintenance,Graduations/Ceremonies,0.00,General Fund
2013,Education,Education,Assistant Superintendant Curriculum and Instruction,Travel and Training,Dues and Subscriptions Summary,1884.00,General Fund
2013,Education,Education,Chief Operating Officer,Salaries and Wages,Perm Salaries - Paraprof Aids,36919.00,General Fund
2013,Education,Education,Chief Operating Officer,Salaries and Wages,Perm Salaries - Full Time Other,35024.00,General Fund
2013,Education,Education,Chief Operating Officer,Other Ordinary Maintenance,Graduations/Ceremonies,0.00,General Fund
2013,Education,Education,Chief Operating Officer,Salaries and Wages,Perm Salaries - Full Time Other,35024.00,General Fund
2013,Education,Education,Chief Operating Officer,Salaries and Wages,Perm Salaries - Administration,161593.00,General Fund
2013,Education,Education,Chief Operating Officer,Salaries and Wages,Perm Salaries - Clerical,62409.00,General Fund
2013,Education,Education,Chief Operating Officer,Salaries and Wages,Perm Salaries - Full Time Other,16832.00,General Fund
2013,Education,Education,Chief Operating Officer,Salaries and Wages,Temp Salaries - Professional,40000.00,General Fund
2013,Education,Education,Chief Operating Officer,Salaries and Wages,Overtime/Peakload Requirement,0.00,General Fund
2013,Education,Education,Chief Operating Officer,Other Ordinary Maintenance,Professional and Technical Services,6065.00,General Fund
2013,Education,Education,Chief Operating Officer,Other Ordinary Maintenance,Reproduction and Printing,20527.00,General Fund
2013,Education,Education,Chief Operating Officer,Other Ordinary Maintenance,Postage,2648.00,General Fund
2013,Education,Education,Chief Operating Officer,Other Ordinary Maintenance,Food Supplies,0.00,General Fund
2013,Education,Education,Chief Operating Officer,Other Ordinary Maintenance,Graduations/Ceremonies,8750.00,General Fund
2013,Education,Education,Chief Operating Officer,Other Ordinary Maintenance,Computer Software,0.00,General Fund
2013,Education,Education,Chief Operating Officer,Travel and Training,Dues and Subscriptions Summary,1757.00,General Fund
2013,Education,Education,Management Services,Salaries and Wages,Perm Salaries - Administration,141228.00,General Fund
2013,Education,Education,Management Services,Salaries and Wages,Perm Salaries - Full Time Other,74225.00,General Fund
2013,Education,Education,Management Services,Other Ordinary Maintenance,Telephone,0.00,General Fund
2013,Education,Education,Management Services,Other Ordinary Maintenance,Reproduction and Printing,1566.02,General Fund
2013,Education,Education,Management Services,Other Ordinary Maintenance,Postage,607.00,General Fund
2013,Education,Education,Management Services,Other Ordinary Maintenance,Office Supplies Summary,965.00,General Fund
2013,Education,Education,Management Services,Other Ordinary Maintenance,Food Supplies,0.00,General Fund
2013,Education,Education,Management Services,Travel and Training,Seminar/Conference/Training (In City),575.00,General Fund
2013,Education,Education,Management Services,Travel and Training,Seminar/Conference/Training (In State),0.00,General Fund
2013,Education,Education,Management Services,Travel and Training,Seminar/Conference/Training (Out of State),0.00,General Fund
2013,Education,Education,Management Services,Travel and Training,Dues and Subscriptions Summary,1112.98,General Fund
2013,Education,Education,Superintendent,Salaries and Wages,Perm Salaries - Administration,359037.00,General Fund
2013,Education,Education,Superintendent,Salaries and Wages,Perm Salaries - Clerical,0.00,General Fund
2013,Education,Education,Superintendent,Salaries and Wages,Perm Salaries - Full Time Other,61999.00,General Fund
2013,Education,Education,Superintendent,Salaries and Wages,Temp Salaries - Professional,0.00,General Fund
2013,Education,Education,Superintendent,Salaries and Wages,Overtime/Peakload Requirement,0.00,General Fund
2013,Education,Education,Superintendent,Other Ordinary Maintenance,Professional and Technical Services,9381.00,General Fund
2013,Education,Education,Superintendent,Other Ordinary Maintenance,Reproduction and Printing,14400.00,General Fund
2013,Education,Education,Superintendent,Other Ordinary Maintenance,Postage,2270.00,General Fund
2013,Education,Education,Superintendent,Other Ordinary Maintenance,Insurance,1875.00,General Fund
2013,Education,Education,Superintendent,Other Ordinary Maintenance,Office Supplies Summary,4347.00,General Fund
2013,Education,Education,Superintendent,Other Ordinary Maintenance,Food Supplies,1915.00,General Fund
2013,Education,Education,Superintendent,Other Ordinary Maintenance,Graduations/Ceremonies,0.00,General Fund
2013,Education,Education,Superintendent,Other Ordinary Maintenance,Computer Software,2500.00,General Fund
2013,Education,Education,Superintendent,Other Ordinary Maintenance,Misc Supplies and Services,4228.00,General Fund
2013,Education,Education,Superintendent,Travel and Training,Business Travel in City,0.00,General Fund
2013,Education,Education,Superintendent,Travel and Training,Seminar/Conference/Training (In City),0.00,General Fund
2013,Education,Education,Superintendent,Travel and Training,Seminar/Conference/Training (Out of State),3839.00,General Fund
2013,Education,Education,Superintendent,Travel and Training,Dues and Subscriptions Summary,32743.00,General Fund
2013,Education,Education,Superintendent,Extraordinary Expenditures,Computer Hardware,2000.00,General Fund
2013,Education,Education,School Committee,Salaries and Wages,Perm Salaries - Administration,97505.00,General Fund
2013,Education,Education,School Committee,Salaries and Wages,Perm Salaries - Clerical,62209.00,General Fund
2013,Education,Education,School Committee,Salaries and Wages,Perm Salaries - Full Time Other,208176.00,General Fund
2013,Education,Education,School Committee,Salaries and Wages,Temp Salaries - Professional,7744.00,General Fund
2013,Education,Education,School Committee,Salaries and Wages,Temporary Clerical Help,0.00,General Fund
2013,Education,Education,School Committee,Salaries and Wages,Overtime/Peakload Requirement,1250.00,General Fund
2013,Education,Education,School Committee,Other Ordinary Maintenance,Professional and Technical Services,15000.00,General Fund
2013,Education,Education,School Committee,Other Ordinary Maintenance,Advertising,0.00,General Fund
2013,Education,Education,School Committee,Other Ordinary Maintenance,Reproduction and Printing,5915.00,General Fund
2013,Education,Education,School Committee,Other Ordinary Maintenance,Postage,250.00,General Fund
2013,Education,Education,School Committee,Other Ordinary Maintenance,Office Supplies Summary,1062.00,General Fund
2013,Education,Education,School Committee,Other Ordinary Maintenance,Equipment Maintenance,300.00,General Fund
2013,Education,Education,School Committee,Other Ordinary Maintenance,Food Supplies,3500.00,General Fund
2013,Education,Education,School Committee,Other Ordinary Maintenance,Graduations/Ceremonies,500.00,General Fund
2013,Education,Education,School Committee,Travel and Training,Seminar/Conference/Training (In State),4732.00,General Fund
2013,Education,Education,School Committee,Travel and Training,Seminar/Conference/Training (Out of State),0.00,General Fund
2013,Education,Education,School Committee,Travel and Training,Dues and Subscriptions Summary,10480.00,General Fund
2013,Education,Education,School Committee,Extraordinary Expenditures,Computer Hardware,0.00,General Fund
2013,Education,Education,Human Resources,Salaries and Wages,Perm Salaries - Administration,211719.00,General Fund
2013,Education,Education,Human Resources,Salaries and Wages,Perm Salaries - Clerical,286020.00,General Fund
2013,Education,Education,Human Resources,Salaries and Wages,Perm Salaries - Full Time Other,108791.00,General Fund
2013,Education,Education,Human Resources,Salaries and Wages,Temp Salaries - Professional,0.00,General Fund
2013,Education,Education,Human Resources,Salaries and Wages,Overtime/Peakload Requirement,5288.00,General Fund
2013,Education,Education,Human Resources,Other Ordinary Maintenance,Professional and Technical Services,0.00,General Fund
2013,Education,Education,Human Resources,Other Ordinary Maintenance,Legal Services,0.00,General Fund
2013,Education,Education,Human Resources,Other Ordinary Maintenance,Advertising,35032.00,General Fund
2013,Education,Education,Human Resources,Other Ordinary Maintenance,Reproduction and Printing,13615.00,General Fund
2013,Education,Education,Human Resources,Other Ordinary Maintenance,Postage,12540.00,General Fund
2013,Education,Education,Human Resources,Other Ordinary Maintenance,Office Supplies Summary,10281.00,General Fund
2013,Education,Education,Human Resources,Other Ordinary Maintenance,Food Supplies,2500.00,General Fund
2013,Education,Education,Human Resources,Other Ordinary Maintenance,Instructional Material,0.00,General Fund
2013,Education,Education,Human Resources,Other Ordinary Maintenance,Computer Software,0.00,General Fund
2013,Education,Education,Human Resources,Travel and Training,Business Travel in City,4015.00,General Fund
2013,Education,Education,Human Resources,Travel and Training,Seminar/Conference/Training (In City),0.00,General Fund
2013,Education,Education,Human Resources,Travel and Training,Seminar/Conference/Training (In State),0.00,General Fund
2013,Education,Education,Human Resources,Travel and Training,Seminar/Conference/Training (Out of State),0.00,General Fund
2013,Education,Education,Human Resources,Travel and Training,Dues and Subscriptions Summary,1276.00,General Fund
2013,Education,Education,Human Resources,Extraordinary Expenditures,Computer Hardware,0.00,General Fund
2013,Education,Education,Human Resources,Other Ordinary Maintenance,Advertising,5000.00,General Fund
2013,Education,Education,Human Resources,Other Ordinary Maintenance,Reproduction and Printing,5000.00,General Fund
2013,Education,Education,Human Resources,Other Ordinary Maintenance,Postage,2500.00,General Fund
2013,Education,Education,Human Resources,Other Ordinary Maintenance,Food Supplies,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Instructional Material,65000.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Extraordinary Expenditures,Additional Equipment Summary,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Professional and Technical Services,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Instructional Material,30000.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Text Books,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Extraordinary Expenditures,Additional Equipment Summary,56141.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Extraordinary Expenditures,Additional Equipment Summary,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Tuition to Other Schools,173814.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Perm Salaries - Teacher,90000.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Professional and Technical Services,90000.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Temp Salaries - Professional,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Worker's Compensation Payments,241468.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Health Insurance,20350177.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Dental Insurance,1258241.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Pensions,3517783.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Medicare,1117767.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Clothing Allowance,30210.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Fringe Benefits,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Professional and Technical Services,78000.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Unemployment,378638.92,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,MBTA Passes,31000.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Instructional Material,373500.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Misc Supplies and Services,56000.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Travel and Training,Business Travel in City,37200.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Travel and Training,Tuition Reimbursement,165000.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Travel and Training,Court Judgments/Damage Settlement,9000.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Travel and Training,Lump Sum Settlement/Worker's Comp,85300.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Travel and Training,Employees - Medical Services,175000.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Travel and Training,Employees - Drugs & Medicine,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Extraordinary Expenditures,Debt Svs-Principal LTD,472167.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Extraordinary Expenditures,Debt Svs. LT Debt Interest,137401.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Perm Salaries - Administration,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Perm Salaries - Teacher,2377973.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Perm Salaries - Clerical,150000.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Perm Salaries - Paraprof Aids,0.00,General Fund
2014,Education,Education,Morse School,Travel and Training,Workshops Stipends/Prof. Dev.,7443.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Perm Salaries - Full Time Other,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Perm Salaries - Aides 2/3/4 hr,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Temp Salaries - Professional,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Substitute Teachers - Daily,1060000.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Extended Term Substitute,600000.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Attendance Incentives,72000.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Salaries and Wages,Grievance Payments,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Moving Supplies/Services,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Professional and Technical Services,17500.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Field Trips,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Reproduction and Printing,125257.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Postage,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Office Supplies Summary,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Other Ordinary Maintenance,Graduations/Ceremonies,0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Travel and Training,Seminar/Conference/Training (In City),0.00,General Fund
2013,Education,Education,Systemwide Accounts & Reserves,Extraordinary Expenditures,Additional Equipment Summary,25000.00,General Fund
2014,Education,Education,Rindge Avenue Upper School,Travel and Training,Workshops Stipends/Prof. Dev.,5000.00,General Fund
2014,Education,Education,Rindge Avenue Upper School,Travel and Training,Workshops Stipends/Prof. Dev.,5700.00,General Fund
2014,Education,Education,Cambridge Street Upper School,Travel and Training,Workshops Stipends/Prof. Dev.,5000.00,General Fund
2014,Education,Education,Cambridge Street Upper School,Travel and Training,Workshops Stipends/Prof. Dev.,6800.00,General Fund
2014,Education,Education,Putnam Avenue Upper School,Travel and Training,Workshops Stipends/Prof. Dev.,5000.00,General Fund
2014,Education,Education,Putnam Avenue Upper School,Travel and Training,Workshops Stipends/Prof. Dev.,6500.00,General Fund
2014,Education,Education,Vassal Lane Upper School,Travel and Training,Workshops Stipends/Prof. Dev.,5000.00,General Fund
2014,Education,Education,Vassal Lane Upper School,Travel and Training,Workshops Stipends/Prof. Dev.,8050.00,General Fund
2014,Education,Education,Baldwin School,Travel and Training,Workshops Stipends/Prof. Dev.,5492.00,General Fund
2014,Education,Education,Baldwin School,Travel and Training,Workshops Stipends/Prof. Dev.,7675.00,General Fund
2014,Education,Education,Haggerty School,Travel and Training,Workshops Stipends/Prof. Dev.,4490.00,General Fund
2014,Education,Education,Haggerty School,Travel and Training,Workshops Stipends/Prof. Dev.,6125.00,General Fund
2014,Education,Education,Amigos School,Travel and Training,Workshops Stipends/Prof. Dev.,5103.00,General Fund
2014,Education,Education,Amigos School,Travel and Training,Workshops Stipends/Prof. Dev.,8600.00,General Fund
2014,Education,Education,King School,Travel and Training,Workshops Stipends/Prof. Dev.,4806.00,General Fund
2014,Education,Education,King School,Travel and Training,Workshops Stipends/Prof. Dev.,6450.00,General Fund
2014,Education,Education,King Open School,Travel and Training,Workshops Stipends/Prof. Dev.,9400.00,General Fund
2014,Education,Education,King Open School,Travel and Training,Workshops Stipends/Prof. Dev.,8550.00,General Fund
2014,Education,Education,Morse School,Travel and Training,Workshops Stipends/Prof. Dev.,7675.00,General Fund
2014,Education,Education,Peabody School,Travel and Training,Workshops Stipends/Prof. Dev.,9547.00,General Fund
2014,Education,Education,Peabody School,Travel and Training,Workshops Stipends/Prof. Dev.,7425.00,General Fund
2014,Education,Education,Tobin School,Travel and Training,Workshops Stipends/Prof. Dev.,6651.00,General Fund
2014,Education,Education,Tobin School,Travel and Training,Workshops Stipends/Prof. Dev.,31975.00,General Fund
2014,Education,Education,Fletcher/Maynard Academy,Travel and Training,Workshops Stipends/Prof. Dev.,4641.00,General Fund
2014,Education,Education,Fletcher/Maynard Academy,Travel and Training,Workshops Stipends/Prof. Dev.,5600.00,General Fund
2014,Education,Education,Graham and Parks School,Travel and Training,Workshops Stipends/Prof. Dev.,6688.00,General Fund
2014,Education,Education,Graham and Parks School,Travel and Training,Workshops Stipends/Prof. Dev.,8875.00,General Fund
2014,Education,Education,Kennedy/Longfellow School,Travel and Training,Workshops Stipends/Prof. Dev.,7148.00,General Fund
2014,Education,Education,Kennedy/Longfellow School,Travel and Training,Workshops Stipends/Prof. Dev.,7375.00,General Fund
2014,Education,Education,Cambridgeport School,Travel and Training,Workshops Stipends/Prof. Dev.,4691.00,General Fund
2014,Education,Education,Cambridgeport School,Travel and Training,Workshops Stipends/Prof. Dev.,7050.00,General Fund
2014,Education,Education,Cambridge Rindge and Latin ,Travel and Training,Workshops Stipends/Prof. Dev.,3819.00,General Fund
2014,Education,Education,Cambridge Rindge and Latin ,Travel and Training,Workshops Stipends/Prof. Dev.,33154.00,General Fund
2014,Education,Education,Cambridge Rindge and Latin ,Travel and Training,Workshops Stipends/Prof. Dev.,40950.00,General Fund
2014,Education,Education,High School Extension Program,Travel and Training,Workshops Stipends/Prof. Dev.,1938.00,General Fund
2014,Education,Education,High School Extension Program,Travel and Training,Workshops Stipends/Prof. Dev.,1475.00,General Fund
2014,Education,Education,Science ,Travel and Training,Workshops Stipends/Prof. Dev.,8064.00,General Fund
2014,Education,Education,Social Studies,Travel and Training,Workshops Stipends/Prof. Dev.,434.00,General Fund
2014,Education,Education,Modern Language,Travel and Training,Workshops Stipends/Prof. Dev.,4800.00,General Fund
2014,Education,Education,Educational Technology,Travel and Training,Workshops Stipends/Prof. Dev.,4000.00,General Fund
2014,Education,Education,Office of Special Education,Travel and Training,Workshops Stipends/Prof. Dev.,13091.00,General Fund
2014,Education,Education,Library Media Services,Travel and Training,Workshops Stipends/Prof. Dev.,3000.00,General Fund
2014,Education,Education,Bilingual Education,Travel and Training,Workshops Stipends/Prof. Dev.,2164.00,General Fund
2014,Education,Education,Health and Physical Education,Travel and Training,Workshops Stipends/Prof. Dev.,34000.00,General Fund
2014,Education,Education,"Elementary Education, Curriculum and Instruction",Travel and Training,Workshops Stipends/Prof. Dev.,115575.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Travel and Training,Workshops Stipends/Prof. Dev.,16500.00,General Fund
2014,Education,Education,Elementary Education  ,Travel and Training,Workshops Stipends/Prof. Dev.,55000.00,General Fund
2014,Education,Education,Deputy Superintendent for Teaching and Learning,Travel and Training,Workshops Stipends/Prof. Dev.,16334.00,General Fund
2014,Education,Education,Fixed Assets/Systemwide Accounts,Salaries and Wages,Worker's Compensation Payments,241468.00,General Fund
2014,Education,Education,Fixed Assets/Systemwide Accounts,Other Ordinary Maintenance,Unemployment,375000.00,General Fund
2014,Education,Education,Office of Special Education,Other Ordinary Maintenance,Tuition to Other Schools,6107856.00,General Fund
2014,Education,Education,Office of Special Education,Other Ordinary Maintenance,Tuition to Other Schools,1568836.00,General Fund
2014,Education,Education,Fixed Assets/Systemwide Accounts,Other Ordinary Maintenance,Tuition to Other Schools,100000.00,General Fund
2014,Education,Education,Fixed Assets/Systemwide Accounts,Travel and Training,Tuition Reimbursement,165000.00,General Fund
2014,Education,Education,Athletics,Other Ordinary Maintenance,Transportation Services,101250.00,General Fund
2014,Education,Education,Bilingual Education,Other Ordinary Maintenance,Transportation Services,3000.00,General Fund
2014,Education,Education,Health and Physical Education,Other Ordinary Maintenance,Transportation Services,26741.00,General Fund
2014,Education,Education,"Elementary Education, Curriculum and Instruction",Other Ordinary Maintenance,Transportation Services,23734.00,General Fund
2014,Education,Education,Transportation,Other Ordinary Maintenance,Transportation Services,8000.00,General Fund
2014,Education,Education,Transportation,Other Ordinary Maintenance,Transportation Services,2219520.00,General Fund
2014,Education,Education,Transportation,Other Ordinary Maintenance,Transportation Services,969000.00,General Fund
2014,Education,Education,Transportation,Other Ordinary Maintenance,Transportation Services,2440000.00,General Fund
2014,Education,Education,Transportation,Other Ordinary Maintenance,Transportation Services,204000.00,General Fund
2014,Education,Education,Rindge Avenue Upper School,Other Ordinary Maintenance,Text Books,1100.00,General Fund
2014,Education,Education,Cambridge Street Upper School,Other Ordinary Maintenance,Text Books,1100.00,General Fund
2014,Education,Education,Putnam Avenue Upper School,Other Ordinary Maintenance,Text Books,1100.00,General Fund
2014,Education,Education,Vassal Lane Upper School,Other Ordinary Maintenance,Text Books,2320.00,General Fund
2014,Education,Education,Baldwin School,Other Ordinary Maintenance,Text Books,3216.00,General Fund
2014,Education,Education,Baldwin School,Other Ordinary Maintenance,Text Books,1984.00,General Fund
2014,Education,Education,Haggerty School,Other Ordinary Maintenance,Text Books,1183.00,General Fund
2014,Education,Education,Amigos School,Other Ordinary Maintenance,Text Books,2539.00,General Fund
2014,Education,Education,Amigos School,Other Ordinary Maintenance,Text Books,1000.00,General Fund
2014,Education,Education,King School,Other Ordinary Maintenance,Text Books,3000.00,General Fund
2014,Education,Education,King School,Other Ordinary Maintenance,Text Books,3300.00,General Fund
2014,Education,Education,King Open School,Other Ordinary Maintenance,Text Books,4628.00,General Fund
2014,Education,Education,King Open School,Other Ordinary Maintenance,Text Books,5145.00,General Fund
2014,Education,Education,Morse School,Other Ordinary Maintenance,Text Books,3564.00,General Fund
2014,Education,Education,Morse School,Other Ordinary Maintenance,Text Books,6000.00,General Fund
2014,Education,Education,Peabody School,Other Ordinary Maintenance,Text Books,3967.00,General Fund
2014,Education,Education,Peabody School,Other Ordinary Maintenance,Text Books,907.00,General Fund
2014,Education,Education,Tobin School,Other Ordinary Maintenance,Text Books,2702.00,General Fund
2014,Education,Education,Fletcher/Maynard Academy,Other Ordinary Maintenance,Text Books,1483.00,General Fund
2014,Education,Education,Graham and Parks School,Other Ordinary Maintenance,Text Books,4307.00,General Fund
2014,Education,Education,Graham and Parks School,Other Ordinary Maintenance,Text Books,12404.00,General Fund
2014,Education,Education,Kennedy/Longfellow School,Other Ordinary Maintenance,Text Books,2688.00,General Fund
2014,Education,Education,Kennedy/Longfellow School,Other Ordinary Maintenance,Text Books,4872.00,General Fund
2014,Education,Education,Cambridgeport School,Other Ordinary Maintenance,Text Books,2697.00,General Fund
2014,Education,Education,Cambridge Rindge and Latin ,Other Ordinary Maintenance,Text Books,21565.00,General Fund
2014,Education,Education,Cambridge Rindge and Latin ,Other Ordinary Maintenance,Text Books,37434.00,General Fund
2014,Education,Education,English Language Arts,Other Ordinary Maintenance,Text Books,3620.00,General Fund
2014,Education,Education,Science ,Other Ordinary Maintenance,Text Books,6500.00,General Fund
2014,Education,Education,Office of Special Education,Other Ordinary Maintenance,Text Books,2000.00,General Fund
2014,Education,Education,Library Media Services,Other Ordinary Maintenance,Text Books,13500.00,General Fund
2014,Education,Education,Library Media Services,Other Ordinary Maintenance,Text Books,3500.00,General Fund
2014,Education,Education,Library Media Services,Other Ordinary Maintenance,Text Books,16000.00,General Fund
2014,Education,Education,Bilingual Education,Other Ordinary Maintenance,Text Books,19907.00,General Fund
2014,Education,Education,"Elementary Education, Curriculum and Instruction",Other Ordinary Maintenance,Text Books,1000.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Other Ordinary Maintenance,Text Books,1000.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Other Ordinary Maintenance,Text Books,1000.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Other Ordinary Maintenance,Text Books,500.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Other Ordinary Maintenance,Text Books,800.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Other Ordinary Maintenance,Text Books,4000.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Other Ordinary Maintenance,Text Books,500.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Other Ordinary Maintenance,Text Books,1500.00,General Fund
2014,Education,Education,Rindge School of Technical Arts,Salaries and Wages,Temporary Salaries/Wages PTO,55240.00,General Fund
2014,Education,Education,Plant Operations and Maintenance,Salaries and Wages,Temporary Salaries/Wages PTO,90000.00,General Fund
2014,Education,Education,Deputy Superintendent for Teaching and Learning,Salaries and Wages,Temporary Salaries/Wages PTO,4000.00,General Fund
2014,Education,Education,Rindge Avenue Upper School,Salaries and Wages,Temp Salaries - Professional,28985.00,General Fund
2014,Education,Education,Cambridge Street Upper School,Salaries and Wages,Temp Salaries - Professional,35279.00,General Fund
2014,Education,Education,Putnam Avenue Upper School,Salaries and Wages,Temp Salaries - Professional,33203.00,General Fund
2014,Education,Education,Vassal Lane Upper School,Salaries and Wages,Temp Salaries - Professional,50671.00,General Fund
2014,Education,Education,Baldwin School,Salaries and Wages,Temp Salaries - Professional,31297.00,General Fund
2014,Education,Education,Haggerty School,Salaries and Wages,Temp Salaries - Professional,28004.00,General Fund
2014,Education,Education,Amigos School,Salaries and Wages,Temp Salaries - Professional,10812.00,General Fund
2014,Education,Education,Amigos School,Salaries and Wages,Temp Salaries - Professional,34531.00,General Fund
2014,Education,Education,King School,Salaries and Wages,Temp Salaries - Professional,3325.00,General Fund
2014,Education,Education,King School,Salaries and Wages,Temp Salaries - Professional,31185.00,General Fund
2014,Education,Education,King Open School,Salaries and Wages,Temp Salaries - Professional,32654.00,General Fund
2014,Education,Education,Morse School,Salaries and Wages,Temp Salaries - Professional,30424.00,General Fund
2014,Education,Education,Peabody School,Salaries and Wages,Temp Salaries - Professional,19483.00,General Fund
2014,Education,Education,Tobin School,Salaries and Wages,Temp Salaries - Professional,27061.00,General Fund
2014,Education,Education,Fletcher/Maynard Academy,Salaries and Wages,Temp Salaries - Professional,30687.00,General Fund
2014,Education,Education,Graham and Parks School,Salaries and Wages,Temp Salaries - Professional,51492.00,General Fund
2014,Education,Education,Kennedy/Longfellow School,Salaries and Wages,Temp Salaries - Professional,10769.00,General Fund
2014,Education,Education,Kennedy/Longfellow School,Salaries and Wages,Temp Salaries - Professional,32842.00,General Fund
2014,Education,Education,Cambridgeport School,Salaries and Wages,Temp Salaries - Professional,31820.00,General Fund
2014,Education,Education,Cambridge Rindge and Latin ,Salaries and Wages,Temp Salaries - Professional,10000.00,General Fund
2014,Education,Education,Cambridge Rindge and Latin ,Salaries and Wages,Temp Salaries - Professional,4750.00,General Fund
2014,Education,Education,Cambridge Rindge and Latin ,Salaries and Wages,Temp Salaries - Professional,51775.00,General Fund
2014,Education,Education,Cambridge Rindge and Latin ,Salaries and Wages,Temp Salaries - Professional,713.00,General Fund
2014,Education,Education,Cambridge Rindge and Latin ,Salaries and Wages,Temp Salaries - Professional,47928.00,General Fund
